Film,Movie.Genre,Award,Year_of_Release,IMDB_Votes,IMDB.Rating,Movie.Time
Spellbound,"Film-Noir,Mystery,Romance",Nominee,1945,46578,7.5,111
The Best Years of Our Lives,"Drama,Romance,War",Winner,1946,60810,8.1,170
Henry V,"Biography,Drama,History",Nominee,1944,6145,7.1,137
It's a Wonderful Life,"Drama,Family,Fantasy",Nominee,1946,420975,8.6,130
The Razor's Edge,"Drama,Romance",Nominee,1946,5770,7.4,145
The Yearling,"Drama,Family,Western",Nominee,1946,5658,7.2,128
Gentleman's Agreement,"Drama,Romance",Winner,1947,15593,7.2,118
The Bishop's Wife,"Comedy,Drama,Fantasy",Nominee,1947,15790,7.6,109
Crossfire,"Crime,Drama,Film-Noir",Nominee,1947,8030,7.3,86
Great Expectations,"Adventure,Drama,Mystery",Nominee,1946,23120,7.8,118
Miracle on 34th Street,"Comedy,Drama,Family",Nominee,1947,44012,7.9,96
Hamlet,Drama,Winner,1948,16167,7.6,154
Johnny Belinda,Drama,Nominee,1948,4549,7.8,102
The Red Shoes,"Drama,Music,Romance",Nominee,1948,32804,8.1,135
The Snake Pit,"Drama,Mystery",Nominee,1948,7232,7.6,108
The Treasure of the Sierra Madre,"Adventure,Drama,Western",Nominee,1948,119133,8.2,126
All the King's Men,"Drama,Film-Noir",Winner,1949,14270,7.5,110
Battleground,"Action,Drama,History",Nominee,1949,6970,7.5,118
The Heiress,"Drama,Romance",Nominee,1949,14871,8.2,115
A Letter to Three Wives,"Drama,Romance",Nominee,1949,9000,7.7,103
Twelve O'Clock High,"Drama,War",Nominee,1949,13989,7.7,132
All About Eve,Drama,Winner,1950,125426,8.2,138
Born Yesterday,"Comedy,Drama,Romance",Nominee,1950,10597,7.6,103
Father of the Bride,"Comedy,Romance",Nominee,1950,10742,7.2,92
King Solomon's Mines,"Action,Adventure,Romance",Nominee,1950,5929,6.8,103
Sunset Boulevard,"Drama,Film-Noir",Nominee,1950,210129,8.4,110
An American in Paris,"Drama,Musical,Romance",Winner,1951,31953,7.2,114
Decision Before Dawn,"Drama,War",Nominee,1951,2596,7.2,119
A Place in the Sun,"Drama,Romance",Nominee,1951,21429,7.8,122
Quo Vadis,"Biography,Drama,History",Nominee,1951,14371,7.2,171
A Streetcar Named Desire,Drama,Nominee,1951,103781,8,122
The Greatest Show on Earth,"Drama,Family,Romance",Winner,1952,13797,6.6,152
High Noon,"Drama,Thriller,Western",Nominee,1952,100501,8,85
Ivanhoe,"Adventure,Drama,History",Nominee,1952,8627,6.8,106
Moulin Rouge,"Biography,Drama,Music",Nominee,1952,5284,7.1,119
The Quiet Man,"Comedy,Drama,Romance",Nominee,1952,36499,7.8,129
From Here to Eternity,"Drama,Romance,War",Winner,1953,45045,7.6,118
Julius Caesar,"Biography,Drama,History",Nominee,1953,11012,7.3,120
The Robe,"Drama,History",Nominee,1953,9876,6.8,135
Roman Holiday,"Comedy,Romance",Nominee,1953,132970,8,118
Shane,"Drama,Western",Nominee,1953,38752,7.6,118
On the Waterfront,"Crime,Drama,Thriller",Winner,1954,147893,8.1,108
The Caine Mutiny,"Drama,War",Nominee,1954,26649,7.7,124
The Country Girl,"Drama,Music",Nominee,1954,5766,7.3,104
Seven Brides for Seven Brothers,"Comedy,Drama,Musical",Nominee,1954,23448,7.4,102
Three Coins in the Fountain,"Drama,Romance",Nominee,1954,3276,6.3,102
Marty,"Drama,Romance",Winner,1955,22916,7.7,90
Love Is a Many-Splendored Thing,"Biography,Drama,Romance",Nominee,1955,4688,6.5,102
Mister Roberts,"Comedy,Drama,War",Nominee,1955,16057,7.7,123
Picnic,"Drama,Romance",Nominee,1955,8425,7.1,115
The Rose Tattoo,"Comedy,Drama,Romance",Nominee,1955,3763,7,117
Around the World in 80 Days,"Adventure,Comedy,Family",Winner,1956,26019,6.8,175
Friendly Persuasion,"Drama,Romance,War",Nominee,1956,6784,7.4,137
Giant,"Drama,Western",Nominee,1956,36951,7.6,201
The King and I,"Biography,Drama,Musical",Nominee,1956,24685,7.4,133
The Ten Commandments,"Adventure,Drama",Nominee,1956,66969,7.9,220
The Bridge on the River Kwai,"Adventure,Drama,War",Winner,1957,210558,8.1,161
12 Angry Men,"Crime,Drama",Nominee,1957,725938,9,96
Peyton Place,"Drama,Romance",Nominee,1957,5707,7.2,157
Sayonara,"Drama,Romance",Nominee,1957,6473,7.1,147
Witness for the Prosecution,"Crime,Drama,Mystery",Nominee,1957,115545,8.4,116
