"Film","Movie.Genre","IMDB.Rating","Audience.Count","Movie.Time"
"Sunset Boulevard","Drama,Film-Noir",8.4,53464,110
"An American in Paris","Drama,Musical,Romance",7.2,26460,114
"Decision Before Dawn","Drama,War",7.2,341,119
"A Place in the Sun","Drama,Romance",7.8,8530,122
"Quo Vadis","Biography,Drama,History",7.2,NA,171
"A Streetcar Named Desire","Drama",8,55148,122
"The Greatest Show on Earth","Drama,Family,Romance",6.6,6192,152
"High Noon","Drama,Thriller,Western",8,25442,85
"Ivanhoe","Adventure,Drama,History",6.8,5038,106
"Moulin Rouge","Biography,Drama,Music",7.1,68249,119
"The Quiet Man","Comedy,Drama,Romance",7.8,30417,129
"From Here to Eternity","Drama,Romance,War",7.6,14883,118
"Julius Caesar","Biography,Drama,History",7.3,5248,120
"The Robe","Drama,History",6.8,6018,135
"Roman Holiday","Comedy,Romance",8,63470,118
"Shane","Drama,Western",7.6,15548,118
"On the Waterfront","Crime,Drama,Thriller",8.1,52205,108
"The Caine Mutiny","Drama,War",7.7,7557,124
"The Country Girl","Drama,Music",7.3,3106,104
"Seven Brides for Seven Brothers","Comedy,Drama,Musical",7.4,54305,102
"Three Coins in the Fountain","Drama,Romance",6.3,2021,102
"Marty","Drama,Romance",7.7,6757,90
"Love Is a Many-Splendored Thing","Biography,Drama,Romance",6.5,NA,102
"Mister Roberts","Comedy,Drama,War",7.7,6728,123
"Picnic","Drama,Romance",7.1,2519,115
"The Rose Tattoo","Comedy,Drama,Romance",7,1108,117
"Around the World in 80 Days","Adventure,Comedy,Family",6.8,33440,175
"Friendly Persuasion","Drama,Romance,War",7.4,1251,137
"Giant","Drama,Western",7.6,24255,201
"The King and I","Biography,Drama,Musical",7.4,61003,133
"The Ten Commandments","Adventure,Drama",7.9,60242,220
"The Bridge on the River Kwai","Adventure,Drama,War",8.1,54711,161
"12 Angry Men","Crime,Drama",9,NA,96
"Peyton Place","Drama,Romance",7.2,3106,157
"Sayonara","Drama,Romance",7.1,NA,147
"Witness for the Prosecution","Crime,Drama,Mystery",8.4,8968,116
"Gigi","Comedy,Musical,Romance",6.7,20979,115
"Auntie Mame","Comedy,Drama,Romance",7.9,8232,143
"Cat on a Hot Tin Roof","Drama",8,31748,108
"The Defiant Ones","Crime,Drama",7.6,5151,96
"Separate Tables","Drama,Romance",7.4,1355,100
"Ben-Hur","Adventure,Drama,History",8.1,106187,212
"Anatomy of a Murder","Crime,Drama,Mystery",8,12375,161
"The Diary of Anne Frank","Biography,Drama,Family",7.4,27953,180
"The Nun's Story","Drama",7.6,5552,149
"Room at the Top","Drama,Romance",7.5,NA,115
"The Apartment","Comedy,Drama,Romance",8.3,38188,125
"The Alamo","Adventure,Drama,History",6.8,7337,162
"Elmer Gantry","Drama",7.8,NA,146
"Sons and Lovers","Drama",7.1,NA,103
"The Sundowners","Adventure,Drama",7.1,589,133
"West Side Story","Crime,Drama,Musical",7.5,168990,153
"Fanny","Drama,Romance",6.9,NA,134
"The Guns of Navarone","Action,Adventure,Drama",7.5,20751,158
"The Hustler","Drama,Sport",8,31217,134
"Judgment at Nuremberg","Drama,War",8.2,NA,179
"Lawrence of Arabia","Adventure,Biography,Drama",8.3,75122,228
"The Longest Day","Action,Drama,History",7.8,42928,178
"The Music Man","Comedy,Family,Musical",7.7,30549,151
"Mutiny on the Bounty","Adventure,Drama,History",7.2,4471,178
"To Kill a Mockingbird","Crime,Drama",8.3,NA,129
"Tom Jones","Adventure,Comedy,History",6.5,5491,129
"America America","Drama",7.8,976,174
"Cleopatra","Biography,Drama,History",7,20541,192
"How the West Was Won","Western",7.1,NA,164
"Lilies of the Field","Drama",7.6,6139,94
"My Fair Lady","Drama,Family,Musical",7.8,NA,170
"Becket","Biography,Drama,History",7.8,5611,148
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Comedy",8.4,NA,95
"Mary Poppins","Comedy,Family,Fantasy",7.8,682486,139
"Zorba the Greek","Comedy,Drama",7.7,7146,142
"The Sound of Music","Biography,Drama,Family",8,606397,172
"Darling","Drama,Romance",7.1,2184,128
"Doctor Zhivago","Drama,Romance,War",8,45777,197
"Ship of Fools","Drama,Romance,War",7.1,1178,149
"A Thousand Clowns","Comedy,Drama,Romance",7.4,NA,118
"A Man for All Seasons","Biography,Drama,History",7.7,9774,120
"Alfie","Comedy,Drama",7,14669,114
"The Russians Are Coming, the Russians Are Coming","Comedy,War",7,4763,126
"The Sand Pebbles","Adventure,Drama,Romance",7.6,5639,182
"Who's Afraid of Virginia Woolf?","Drama",8,21663,131
"In the Heat of the Night","Crime,Drama,Mystery",7.9,23185,110
"Bonnie and Clyde","Action,Biography,Crime",7.8,56566,111
"Doctor Dolittle","Adventure,Comedy,Family",6.2,73397,152
"The Graduate","Comedy,Drama,Romance",8,183610,106
"Guess Who's Coming to Dinner","Comedy,Drama",7.8,38252,108
"Oliver!","Drama,Family,Musical",7.4,56092,153
"Funny Girl","Biography,Comedy,Drama",7.4,19884,151
"The Lion in Winter","Biography,Drama,History",7.9,13105,134
"Rachel, Rachel","Drama,Romance",7.3,492,101
"Romeo and Juliet","Drama,Romance",7.6,65196,138
"Midnight Cowboy","Drama",7.8,40013,113
"Anne of the Thousand Days","Biography,Drama,History",7.5,3281,145
"Butch Cassidy and the Sundance Kid","Biography,Crime,Drama",8,71183,110
"Hello, Dolly!","Adventure,Comedy,Musical",7.1,21196,146
"Z","Crime,Drama,History",8.3,6526,127
"Patton","Biography,Drama,War",7.9,43309,172
"Airport","Action,Drama,Thriller",6.6,11263,137
"Five Easy Pieces","Drama",7.5,13154,98
"Love Story","Drama,Romance",6.9,35290,100
"M*A*S*H","Comedy,Drama,War",7.5,53152,116
"The French Connection","Action,Crime,Drama",7.7,44341,104
"A Clockwork Orange","Crime,Drama,Sci-Fi",8.3,436890,136
"Fiddler on the Roof","Drama,Family,Musical",8,52560,181
"The Last Picture Show","Drama,Romance",8,14148,118
"Nicholas and Alexandra","Biography,Drama,History",7.2,1674,183
"The Godfather","Crime,Drama",9.2,733939,175
"Cabaret","Drama,Music,Musical",7.8,36098,124
"Deliverance","Adventure,Drama,Thriller",7.7,49424,109
"The Emigrants","Drama,History",8,NA,151
"Sounder","Drama,Family",7.6,NA,105
"The Sting","Comedy,Crime,Drama",8.3,61731,129
"American Graffiti","Comedy,Drama",7.4,64618,110
"Cries and Whispers","Drama",8.1,9251,91
"The Exorcist","Horror",8,420304,122
"A Touch of Class","Comedy,Romance",6.5,2032,106
"The Godfather Part II","Crime,Drama",9,NA,202
"Chinatown","Drama,Mystery,Thriller",8.2,77911,130
"The Conversation","Drama,Mystery,Thriller",7.8,35156,113
"Lenny","Biography,Drama",7.6,6547,111
"The Towering Inferno","Action,Drama,Thriller",7,28338,165
"One Flew Over the Cuckoo's Nest","Drama",8.7,279760,133
"Barry Lyndon","Adventure,Drama,History",8.1,45079,185
"Dog Day Afternoon","Biography,Crime,Drama",8,110209,125
"Jaws","Adventure,Thriller",8,944601,124
"Nashville","Comedy,Drama,Music",7.7,10086,160
"Rocky","Drama,Sport",8.1,33403994,120
"All the President's Men","Biography,Drama,History",8,50300,138
"Bound for Glory","Biography,Drama,Music",7.3,NA,147
"Network","Drama",8.1,36359,121
"Taxi Driver","Crime,Drama",8.2,260593,114
"Annie Hall","Comedy,Romance",8,153745,93
"The Goodbye Girl","Comedy,Drama,Romance",7.4,7479,111
"Julia","Drama",7.2,NA,117
"Star Wars","Action,Adventure,Fantasy",8.6,NA,121
"The Turning Point","Drama,Romance",6.9,NA,119
"The Deer Hunter","Drama,War",8.1,103489,183
"Coming Home","Drama,Romance,War",7.3,NA,127
"Heaven Can Wait","Comedy,Fantasy,Romance",6.9,13232,101
"Midnight Express","Biography,Crime,Drama",7.6,31089,121
"An Unmarried Woman","Comedy,Drama,Romance",7.2,NA,124
"Kramer vs. Kramer","Drama",7.8,43464,105
"All That Jazz","Drama,Music,Musical",7.9,NA,123
"Apocalypse Now","Drama,Mystery,War",8.4,286037,147
"Breaking Away","Comedy,Drama,Romance",7.7,9343,101
"Norma Rae","Drama",7.3,NA,114
"Ordinary People","Drama",7.7,23217,124
"Coal Miner's Daughter","Biography,Drama,Music",7.5,36305,124
"The Elephant Man","Biography,Drama",8.1,64544,124
"Raging Bull","Biography,Drama,Sport",8.2,131407,129
"Tess","Drama,Romance",7.3,6331,186
"Chariots of Fire","Biography,Drama,Sport",7.2,37166,125
"Atlantic City","Crime,Drama,Romance",7.3,5228,104
"On Golden Pond","Drama",7.6,20566,109
"Raiders of the Lost Ark","Action,Adventure",8.4,826663,115
"Reds","Horror,Mystery,Thriller",7.6,NA,127
"Gandhi","Biography,Drama,History",8,49831,191
"E.T. the Extra-Terrestrial","Family,Sci-Fi",7.8,NA,115
"Missing","Biography,Drama,History",7.7,NA,122
"Tootsie","Comedy,Drama,Romance",7.4,58527,116
"The Verdict","Drama",7.7,10381,129
"Terms of Endearment","Comedy,Drama",7.4,36329,132
"The Big Chill","Comedy,Drama",7.2,22301,105
"The Dresser","Drama",7.6,1802,118
"The Right Stuff","Adventure,Biography,Drama",7.8,NA,193
"Tender Mercies","Drama,Music",7.4,3613,92
"Amadeus","Biography,Drama,History",8.3,180143,160
"The Killing Fields","Biography,Drama,History",7.8,23126,141
"A Passage to India","Adventure,Drama,History",7.3,6936,164
"Places in the Heart","Drama",7.4,6741,111
"A Soldier's Story","Crime,Drama,Mystery",7.2,6506,101
"Out of Africa","Biography,Drama,Romance",7.2,40320,161
"The Color Purple","Drama",7.8,180874,154
"Kiss of the Spider Woman","Drama",7.4,7183,120
"Prizzi's Honor","Comedy,Crime,Drama",6.7,NA,130
"Witness","Crime,Drama,Romance",7.4,46814,112
"Platoon","Drama,War",8.1,239850,120
"Children of a Lesser God","Drama,Romance",7.2,8543,119
"Hannah and Her Sisters","Comedy,Drama",7.9,31072,107
"The Mission","Adventure,Drama,History",7.4,38896,125
"A Room with a View","Drama,Romance",7.3,NA,117
"The Last Emperor","Biography,Drama,History",7.7,39918,163
"Broadcast News","Comedy,Drama,Romance",7.2,11001,133
